Symbol,ATR_%,ADX,Trend_Divergence_%,Gap_Freq_%,Avg_Volume,Volatility,Trend,Liquidity,Generated_At
NYKAA.NS,2.5,,8.96,15.2,7923636.0,High,Uptrend,Excellent,2026-07-18 07:04:46
FEDERALBNK.NS,2.3,,13.01,10.4,8145657.0,High,Uptrend,Excellent,2026-07-18 07:04:46
FORTIS.NS,2.15,,3.55,8.8,1535412.0,High,Sideways,Excellent,2026-07-18 07:04:46
GAIL.NS,2.0,,2.26,10.44,6408402.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
GVT&D.NS,5.06,,28.68,22.4,1103248.0,High,Uptrend,Excellent,2026-07-18 07:04:46
GMRAIRPORT.NS,2.48,,5.79,13.6,23323308.0,High,Uptrend,Excellent,2026-07-18 07:04:46
GLENMARK.NS,2.4,,7.69,9.24,564957.0,High,Uptrend,Good,2026-07-18 07:04:46
GODFRYPHLP.NS,2.06,,-7.92,15.26,197710.0,High,Downtrend,Good,2026-07-18 07:04:46
GODREJCP.NS,2.46,,-6.61,13.6,839938.0,High,Downtrend,Good,2026-07-18 07:04:46
GODREJPROP.NS,3.02,,-3.03,16.4,823250.0,High,Sideways,Good,2026-07-18 07:04:46
GRASIM.NS,1.9,,8.31,6.0,628710.0,Medium,Uptrend,Good,2026-07-18 07:04:46
HCLTECH.NS,3.8,,-17.5,17.2,4673879.0,High,Downtrend,Excellent,2026-07-18 07:04:46
HDFCAMC.NS,3.26,,1.32,13.65,911379.0,High,Sideways,Good,2026-07-18 07:04:46
HDFCBANK.NS,1.78,,-11.24,17.2,32074211.0,Medium,Downtrend,Excellent,2026-07-18 07:04:46
HDFCLIFE.NS,2.65,,-13.57,10.44,3881464.0,High,Downtrend,Excellent,2026-07-18 07:04:46
HAVELLS.NS,2.47,,-10.9,10.04,1097334.0,High,Downtrend,Excellent,2026-07-18 07:04:46
HEROMOTOCO.NS,2.1,,-7.8,13.25,763527.0,High,Downtrend,Good,2026-07-18 07:04:46
HINDALCO.NS,2.33,,11.34,24.5,5672385.0,High,Uptrend,Excellent,2026-07-18 07:04:46
HAL.NS,1.92,,0.72,9.2,701296.0,Medium,Sideways,Good,2026-07-18 07:04:46
HINDPETRO.NS,2.36,,-7.0,24.4,5822399.0,High,Downtrend,Excellent,2026-07-18 07:04:46
HINDUNILVR.NS,1.94,,-5.15,6.8,1717442.0,Medium,Downtrend,Excellent,2026-07-18 07:04:46
HINDZINC.NS,2.31,,3.55,32.8,3384144.0,High,Sideways,Excellent,2026-07-18 07:04:46
POWERINDIA.NS,4.29,,36.48,17.2,172955.0,High,Uptrend,Good,2026-07-18 07:04:46
HUDCO.NS,2.87,,0.65,12.05,2718435.0,High,Sideways,Excellent,2026-07-18 07:04:46
HYUNDAI.NS,2.83,,-9.54,11.65,616180.0,High,Downtrend,Good,2026-07-18 07:04:46
ICICIBANK.NS,1.79,,-1.66,10.4,11997850.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
ICICIGI.NS,3.52,,-4.17,10.44,1294523.0,High,Sideways,Excellent,2026-07-18 07:04:46
ICICIAMC.NS,,,,,,Unknown,Unknown,Unknown,2026-07-18 07:04:46
IDFCFIRSTB.NS,2.05,,-1.16,10.4,20454889.0,High,Sideways,Excellent,2026-07-18 07:04:46
ITC.NS,1.46,,-11.79,4.8,12246276.0,Medium,Downtrend,Excellent,2026-07-18 07:04:46
INDIANB.NS,3.23,,-1.84,13.2,3781532.0,High,Sideways,Excellent,2026-07-18 07:04:46
INDHOTEL.NS,2.2,,0.41,9.6,2819216.0,High,Sideways,Excellent,2026-07-18 07:04:46
IOC.NS,2.05,,-7.7,15.6,14644206.0,High,Downtrend,Excellent,2026-07-18 07:04:46
IRCTC.NS,1.5,,-13.76,6.4,831184.0,Medium,Downtrend,Good,2026-07-18 07:04:46
IRFC.NS,1.54,,-11.89,12.4,15297523.0,Medium,Downtrend,Excellent,2026-07-18 07:04:46
IREDA.NS,2.14,,-4.82,12.0,4657262.0,High,Sideways,Excellent,2026-07-18 07:04:46
INDUSTOWER.NS,2.6,,-0.17,11.65,7162050.0,High,Sideways,Excellent,2026-07-18 07:04:46
INDUSINDBK.NS,2.56,,6.99,12.4,2220204.0,High,Uptrend,Excellent,2026-07-18 07:04:46
NAUKRI.NS,3.47,,-12.22,16.4,3099127.0,High,Downtrend,Excellent,2026-07-18 07:04:46
INFY.NS,3.05,,-17.46,25.6,13100561.0,High,Downtrend,Excellent,2026-07-18 07:04:46
INDIGO.NS,2.39,,-3.48,20.56,1213434.0,High,Sideways,Excellent,2026-07-18 07:04:46
JSWENERGY.NS,2.81,,8.38,13.65,2831897.0,High,Uptrend,Excellent,2026-07-18 07:04:46
JSWSTEEL.NS,1.95,,5.19,10.4,1467283.0,Medium,Uptrend,Excellent,2026-07-18 07:04:46
JINDALSTEL.NS,2.5,,1.63,11.2,1484019.0,High,Sideways,Excellent,2026-07-18 07:04:46
JIOFIN.NS,2.38,,-10.74,12.0,16371802.0,High,Downtrend,Excellent,2026-07-18 07:04:46
JUBLFOOD.NS,3.41,,-15.11,10.44,3016082.0,High,Downtrend,Excellent,2026-07-18 07:04:46
KEI.NS,3.58,,14.96,12.85,380618.0,High,Uptrend,Good,2026-07-18 07:04:46
KPITTECH.NS,4.53,,-24.37,16.0,4223379.0,High,Downtrend,Excellent,2026-07-18 07:04:46
KALYANKJIL.NS,5.28,,-10.81,18.0,38221492.0,High,Downtrend,Excellent,2026-07-18 07:04:46
KOTAKBANK.NS,2.26,,-4.03,16.0,17519624.0,High,Sideways,Excellent,2026-07-18 07:04:46
LTF.NS,3.56,,2.24,16.8,7807962.0,High,Sideways,Excellent,2026-07-18 07:04:46
LGEINDIA.NS,,,,,,Unknown,Unknown,Unknown,2026-07-18 07:04:46
LICHSGFIN.NS,2.33,,1.57,9.24,1438215.0,High,Sideways,Excellent,2026-07-18 07:04:46
LTM.NS,3.46,,-19.97,14.0,546802.0,High,Downtrend,Good,2026-07-18 07:04:46
LT.NS,2.01,,1.71,13.25,2097417.0,High,Sideways,Excellent,2026-07-18 07:04:46
LAURUSLABS.NS,2.73,,27.14,9.2,2500063.0,High,Uptrend,Excellent,2026-07-18 07:04:46
LENSKART.NS,,,,,,Unknown,Unknown,Unknown,2026-07-18 07:04:46
LODHA.NS,4.16,,-4.84,18.0,3832341.0,High,Sideways,Excellent,2026-07-18 07:04:46
LUPIN.NS,2.03,,6.14,11.2,758002.0,High,Uptrend,Good,2026-07-18 07:04:46
MRF.NS,2.49,,-9.04,9.68,8066.0,High,Downtrend,Poor,2026-07-18 07:04:46
M&MFIN.NS,3.47,,-5.67,13.65,4401967.0,High,Downtrend,Excellent,2026-07-18 07:04:46
M&M.NS,2.21,,-7.94,18.0,2539190.0,High,Downtrend,Excellent,2026-07-18 07:04:46
MANKIND.NS,2.58,,7.88,10.44,463900.0,High,Uptrend,Good,2026-07-18 07:04:46
MARICO.NS,1.92,,7.97,9.24,2164735.0,Medium,Uptrend,Excellent,2026-07-18 07:04:46
MARUTI.NS,2.48,,-8.46,14.06,576429.0,High,Downtrend,Good,2026-07-18 07:04:46
MFSL.NS,2.93,,-1.38,13.25,835854.0,High,Sideways,Good,2026-07-18 07:04:46
MAXHEALTH.NS,2.85,,-0.48,14.06,2040732.0,High,Sideways,Excellent,2026-07-18 07:04:46
MAZDOCK.NS,2.41,,-2.36,13.2,820415.0,High,Sideways,Good,2026-07-18 07:04:46
MOTILALOFS.NS,2.81,,5.75,16.0,700498.0,High,Uptrend,Good,2026-07-18 07:04:46
MPHASIS.NS,3.36,,-9.61,20.88,608934.0,High,Downtrend,Good,2026-07-18 07:04:46
MCX.NS,4.03,,21.06,17.6,3153022.0,High,Uptrend,Excellent,2026-07-18 07:04:46
MUTHOOTFIN.NS,2.86,,-7.42,18.07,1123208.0,High,Downtrend,Excellent,2026-07-18 07:04:46
NHPC.NS,1.94,,-0.98,8.8,18174744.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
NMDC.NS,2.05,,8.86,13.2,21627204.0,High,Uptrend,Excellent,2026-07-18 07:04:46
NTPC.NS,1.77,,3.04,7.2,11863343.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
NATIONALUM.NS,3.34,,12.7,23.6,11404857.0,High,Uptrend,Excellent,2026-07-18 07:04:46
NESTLEIND.NS,2.0,,8.66,5.2,1741711.0,Medium,Uptrend,Excellent,2026-07-18 07:04:46
OBEROIRLTY.NS,3.21,,5.14,17.67,767751.0,High,Uptrend,Good,2026-07-18 07:04:46
ONGC.NS,1.81,,1.72,8.8,14982964.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
OIL.NS,2.14,,1.95,10.0,3464201.0,High,Sideways,Excellent,2026-07-18 07:04:46
PAYTM.NS,3.51,,-3.18,12.8,3110974.0,High,Sideways,Excellent,2026-07-18 07:04:46
OFSS.NS,3.03,,23.23,16.0,336160.0,High,Uptrend,Good,2026-07-18 07:04:46
POLICYBZR.NS,3.59,,-1.24,15.32,3037278.0,High,Sideways,Excellent,2026-07-18 07:04:46
PIIND.NS,1.84,,-11.16,10.8,243057.0,Medium,Downtrend,Good,2026-07-18 07:04:46
PAGEIND.NS,3.08,,6.08,5.67,43761.0,High,Uptrend,Poor,2026-07-18 07:04:46
PATANJALI.NS,3.74,,-15.15,8.8,7019190.0,High,Downtrend,Excellent,2026-07-18 07:04:46
PERSISTENT.NS,3.9,,-9.7,18.88,1100632.0,High,Downtrend,Excellent,2026-07-18 07:04:46
PHOENIXLTD.NS,2.93,,6.44,16.6,891826.0,High,Uptrend,Good,2026-07-18 07:04:46
